DATE,SP500,DJIA,NASDAQ100
2017-01-11,2275.32,19954.28,5050.21
2017-01-12,2270.44,19891.0,5041.43
2017-01-13,2274.64,19885.73,5059.51
2017-01-16,,,
2017-01-17,2267.89,19826.77,5044.65
2017-01-18,2271.89,19804.72,5055.85
2017-01-19,2263.69,19732.4,5051.17
2017-01-20,2271.31,19827.25,5063.2
2017-01-23,2265.2,19799.85,5065.7
2017-01-24,2280.07,19912.71,5101.06
2017-01-25,2298.37,20068.51,5151.47
2017-01-26,2296.68,20100.91,5156.92
2017-01-27,2294.69,20093.78,5168.06
2017-01-30,2280.9,19971.13,5129.33
2017-01-31,2278.87,19864.09,5116.77
2017-02-01,2279.55,19890.94,5152.69
2017-02-02,2280.85,19884.91,5147.7
2017-02-03,2297.42,20071.46,5161.6
2017-02-06,2292.56,20052.42,5167.96
2017-02-07,2293.08,20090.29,5185.88
2017-02-08,2294.67,20054.34,5196.58
2017-02-09,2307.87,20172.4,5212.16
2017-02-10,2316.1,20269.37,5226.69
2017-02-13,2328.25,20412.16,5256.82
2017-02-14,2337.58,20504.41,5271.07
2017-02-15,2349.25,20611.86,5302.39
2017-02-16,2347.22,20619.77,5300.64
2017-02-17,2351.16,20624.05,5324.72
2017-02-20,,,
